
Mediation Sensitivity Analysis for Average Direct Effect

Sensitivity Region

         Rho    ADE 95% CI Lower 95% CI Upper R^2_M*R^2_Y* R^2_M~R^2_Y~
[122,]  0.77 0.0060      -0.0021       0.0141       0.5929       0.3832
[123,]  0.78 0.0060      -0.0022       0.0143       0.6084       0.3933
[124,]  0.79 0.0061      -0.0024       0.0145       0.6241       0.4034
[125,]  0.80 0.0061      -0.0026       0.0147       0.6400       0.4137
[126,]  0.81 0.0061      -0.0027       0.0149       0.6561       0.4241
[127,]  0.82 0.0061      -0.0029       0.0152       0.6724       0.4346
[128,]  0.83 0.0062      -0.0031       0.0155       0.6889       0.4453
[129,]  0.84 0.0062      -0.0034       0.0157       0.7056       0.4561
[130,]  0.85 0.0062      -0.0036       0.0161       0.7225       0.4670
[131,]  0.86 0.0063      -0.0039       0.0164       0.7396       0.4781
[132,]  0.87 0.0063      -0.0042       0.0168       0.7569       0.4893
[133,]  0.88 0.0064      -0.0045       0.0173       0.7744       0.5006
[134,]  0.89 0.0064      -0.0049       0.0178       0.7921       0.5120
[135,]  0.90 0.0065      -0.0054       0.0184       0.8100       0.5236
[136,]  0.91 0.0065      -0.0060       0.0190       0.8281       0.5353
[137,]  0.92 0.0066      -0.0066       0.0198       0.8464       0.5471
[138,]  0.93 0.0067      -0.0074       0.0208       0.8649       0.5591
[139,]  0.94 0.0068      -0.0083       0.0220       0.8836       0.5712
[140,]  0.95 0.0070      -0.0096       0.0236       0.9025       0.5834
[141,]  0.96 0.0072      -0.0113       0.0257       0.9216       0.5957
[142,]  0.97 0.0075      -0.0138       0.0288       0.9409       0.6082
[143,]  0.98 0.0080      -0.0180       0.0340       0.9604       0.6208
[144,]  0.99 0.0091      -0.0276       0.0459       0.9801       0.6335

Rho at which ADE = 0: -0.99
R^2_M*R^2_Y* at which ADE = 0: 0.9801
R^2_M~R^2_Y~ at which ADE = 0: 0.6335 

